web_scraper_order,web_scraper_start_url,brand,model,formfactor,wrap_color,ring_color,model2,cell_data,cell_image,item_page_title,item_page_link,text_0
"1776675301-11","https://secondlifestorage.com/index.php?pages/cell-database/","Unknown","CRN18650","18650","Green (Dark)","Black","","View Specifications","https://secondlifestorage.com/custom/cell_images/cnr18650.jpg","View Specifications","https://secondlifestorage.com/index.php?threads/celldata.4488/","Brand:

Unknown

Model:

CRN18650

Capacity:

2200mAh Rated

Voltage:

3.70V Nominal

Charging:

4.20V Maximum
--- mA Standard
2000mA Maximum

Discharging:

3.00V Cutoff
--- mA Standard
--- mA Maximum

Description:

Green (Dark) Cell Wrapper
Black Insulator Ring
18650 Form Factor"
"1776675304-12","https://secondlifestorage.com/index.php?pages/cell-database/","Unknown","C18650P","18650","Blue (Transparent)","Brown (Light)","","View Specifications","https://secondlifestorage.com/custom/cell_images/Ey1Q4QK.jpg","View Specifications","https://secondlifestorage.com/index.php?threads/celldata.1707/","Brand:

Unknown

Model:

C18650P

Capacity:

1300mAh Rated

Voltage:

3.60V Nominal

Charging:

--- V Maximum
--- mA Standard
--- mA Maximum

Discharging:

--- V Cutoff
--- mA Standard
--- mA Maximum

Description:

Blue (Transparent) Cell Wrapper
Brown (Light) Insulator Ring
18650 Form Factor"
"1776675306-13","https://secondlifestorage.com/index.php?pages/cell-database/","Unknown","ASO/SZN","18650","Purple","White","","View Specifications","https://secondlifestorage.com/custom/cell_images/5MjnWEc.jpg","View Specifications","https://secondlifestorage.com/index.php?threads/celldata.1778/","Brand:

Unknown

Model:

ASO/SZN

Capacity:

--- mAh Rated

Voltage:

--- V Nominal

Charging:

--- V Maximum
--- mA Standard
--- mA Maximum

Discharging:

--- V Cutoff
--- mA Standard
--- mA Maximum

Description:

Purple Cell Wrapper
White Insulator Ring
18650 Form Factor"
"1776675309-14","https://secondlifestorage.com/index.php?pages/cell-database/","Uni-Sun","E18650
UN-010","18650","Orange","White","UN-010","View Specifications","https://secondlifestorage.com/custom/cell_images/unisune18650.jpg","View Specifications","https://secondlifestorage.com/index.php?threads/celldata.5777/","Brand:

Uni-Sun

Model:

E18650 (UN-010)

Capacity:

2400mAh Rated

Voltage:

--- V Nominal

Charging:

--- V Maximum
--- mA Standard
--- mA Maximum

Discharging:

--- V Cutoff
--- mA Standard
--- mA Maximum

Description:

Orange Cell Wrapper
White Insulator Ring
18650 Form Factor"
"1776675311-15","https://secondlifestorage.com/index.php?pages/cell-database/","Toshiba","LGR18650S
A&TB","18650","Purple","White","A&TB","View Specifications","https://secondlifestorage.com/custom/cell_images/lgr18650s.jpg","View Specifications","https://secondlifestorage.com/index.php?threads/celldata.3268/","Brand:

Toshiba

Model:

LGR18650S (A&TB)

Capacity:

1350mAh Rated

Voltage:

--- V Nominal

Charging:

--- V Maximum
--- mA Standard
--- mA Maximum

Discharging:

--- V Cutoff
--- mA Standard
--- mA Maximum

Description:

Purple Cell Wrapper
White Insulator Ring
18650 Form Factor"
"1776675314-16","https://secondlifestorage.com/index.php?pages/cell-database/","Toshiba","LGR18650P
A&TB","18650","Purple","White","A&TB","View Specifications","https://secondlifestorage.com/custom/cell_images/toshibalgr18650p.jpg","View Specifications","https://secondlifestorage.com/index.php?threads/celldata.6464/","Brand:

Toshiba

Model:

LGR18650P (A&TB)

Capacity:

1650mAh Rated

Voltage:

3.70V Nominal

Charging:

--- V Maximum
--- mA Standard
--- mA Maximum

Discharging:

--- V Cutoff
--- mA Standard
--- mA Maximum

Description:

Purple Cell Wrapper
White Insulator Ring
18650 Form Factor"
"1776675316-17","https://secondlifestorage.com/index.php?pages/cell-database/","Tenergy","LR1865S1
ICR18650-2200","18650","Grey","White","ICR18650-2200","View Specifications","https://secondlifestorage.com/custom/cell_images/tenergyicr186502200.jpg","View Specifications","https://secondlifestorage.com/index.php?threads/celldata.6336/","Brand:

Tenergy

Model:

LR1865S1 (ICR18650-2200)

Capacity:

2200mAh Rated

Voltage:

3.60V Nominal

Charging:

4.20V Maximum
1100mA Standard
2200mA Maximum

Discharging:

3.00V Cutoff
--- mA Standard
4400mA Maximum

Description:

Grey Cell Wrapper
White Insulator Ring
18650 Form Factor"
"1776675319-18","https://secondlifestorage.com/index.php?pages/cell-database/","Sony","US18650VTC6","18650","Green","Black","","View Specifications","https://secondlifestorage.com/custom/cell_images/w64mXjO.jpg","View Specifications","https://secondlifestorage.com/index.php?threads/celldata.1698/","Brand:

Sony

Model:

US18650VTC6

Capacity:

3000mAh Rated

Voltage:

3.60V Nominal

Charging:

4.20V Maximum
3000mA Standard
--- mA Maximum

Discharging:

2.50V Cutoff
3000mA Standard
10000mA Maximum

Description:

Green Cell Wrapper
Black Insulator Ring
18650 Form Factor"
"1776675324-19","https://secondlifestorage.com/index.php?pages/cell-database/","Sony","US18650VTC4","18650","Green","Black","","View Specifications","https://secondlifestorage.com/custom/cell_images/KPP9NJq.jpg","View Specifications","https://secondlifestorage.com/index.php?threads/celldata.1697/","Brand:

Sony

Model:

US18650VTC4

Capacity:

2000mAh Rated

Voltage:

3.70V Nominal

Charging:

4.20V Maximum
2000mA Standard
--- mA Maximum

Discharging:

2.50V Cutoff
420mA Standard
--- mA Maximum

Description:

Green Cell Wrapper
Black Insulator Ring
18650 Form Factor"
"1776675327-20","https://secondlifestorage.com/index.php?pages/cell-database/","Sony","US18650VTC3","18650","Green","Black","","View Specifications","https://secondlifestorage.com/custom/cell_images/zKQnDDW.jpg","View Specifications","https://secondlifestorage.com/index.php?threads/celldata.1696/","Brand:

Sony

Model:

US18650VTC3

Capacity:

1500mAh Rated

Voltage:

3.70V Nominal

Charging:

4.20V Maximum
1500mA Standard
--- mA Maximum

Discharging:

2.50V Cutoff
300mA Standard
--- mA Maximum

Description:

Green Cell Wrapper
Black Insulator Ring
18650 Form Factor"
"1776675329-21","https://secondlifestorage.com/index.php?pages/cell-database/","Sony","US18650VT3","18650","Green","Black","","View Specifications","https://secondlifestorage.com/custom/cell_images/IxFRE7p.jpg","View Specifications","https://secondlifestorage.com/index.php?threads/celldata.1695/","Brand:

Sony

Model:

US18650VT3

Capacity:

1500mAh Rated

Voltage:

3.70V Nominal

Charging:

4.20V Maximum
1500mA Standard
--- mA Maximum

Discharging:

2.50V Cutoff
300mA Standard
--- mA Maximum

Description:

Green Cell Wrapper
Black Insulator Ring
18650 Form Factor"
"1776675332-22","https://secondlifestorage.com/index.php?pages/cell-database/","Sony","US18650VT","18650","Green","Black","","View Specifications","https://secondlifestorage.com/custom/cell_images/CRfRbol.jpg","View Specifications","https://secondlifestorage.com/index.php?threads/celldata.1692/","Brand:

Sony

Model:

US18650VT

Capacity:

1300mAh Rated

Voltage:

3.60V Nominal

Charging:

4.20V Maximum
1300mA Standard
--- mA Maximum

Discharging:

2.75V Cutoff
260mA Standard
--- mA Maximum

Description:

Green Cell Wrapper
Black Insulator Ring
18650 Form Factor"
"1776675334-23","https://secondlifestorage.com/index.php?pages/cell-database/","Sony","US18650V3","18650","Green","Black","","View Specifications","https://secondlifestorage.com/custom/cell_images/HriL00P.jpg","View Specifications","https://secondlifestorage.com/index.php?threads/celldata.1694/","Brand:

Sony

Model:

US18650V3

Capacity:

2150mAh Rated

Voltage:

3.70V Nominal

Charging:

4.20V Maximum
2150mA Standard
2150mA Maximum

Discharging:

2.50V Cutoff
430mA Standard
10000mA Maximum

Description:

Green Cell Wrapper
Black Insulator Ring
18650 Form Factor"
"1776675336-24","https://secondlifestorage.com/index.php?pages/cell-database/","Sony","US18650V2","18650","Green","Black","","View Specifications","https://secondlifestorage.com/custom/cell_images/w3gsgoY.jpg","View Specifications","https://secondlifestorage.com/index.php?threads/celldata.1693/","Brand:

Sony

Model:

US18650V2

Capacity:

--- mAh Rated

Voltage:

--- V Nominal

Charging:

--- V Maximum
--- mA Standard
--- mA Maximum

Discharging:

--- V Cutoff
--- mA Standard
--- mA Maximum

Description:

Green Cell Wrapper
Black Insulator Ring
18650 Form Factor"
"1776675339-25","https://secondlifestorage.com/index.php?pages/cell-database/","Sony","US18650V","18650","Green","Black","","View Specifications","https://secondlifestorage.com/custom/cell_images/uwE3mJ0.jpg","View Specifications","https://secondlifestorage.com/index.php?threads/celldata.1691/","Brand:

Sony

Model:

US18650V

Capacity:

1600mAh Rated

Voltage:

3.70V Nominal

Charging:

4.20V Maximum
320mA Standard
--- mA Maximum

Discharging:

2.50V Cutoff
320mA Standard
--- mA Maximum

Description:

Green Cell Wrapper
Black Insulator Ring
18650 Form Factor"
"1776675341-26","https://secondlifestorage.com/index.php?pages/cell-database/","Sony","US18650S","18650","Blue","Beige","","View Specifications","https://secondlifestorage.com/custom/cell_images/oES9HL8.jpg","View Specifications","https://secondlifestorage.com/index.php?threads/celldata.1683/","Brand:

Sony

Model:

US18650S

Capacity:

--- mAh Rated

Voltage:

--- V Nominal

Charging:

--- V Maximum
--- mA Standard
--- mA Maximum

Discharging:

--- V Cutoff
--- mA Standard
--- mA Maximum

Description:

Blue Cell Wrapper
Beige Insulator Ring
18650 Form Factor"
"1776675344-27","https://secondlifestorage.com/index.php?pages/cell-database/","Sony","US18650NC1","18650","Green","Black","","View Specifications","https://secondlifestorage.com/custom/cell_images/XIwuIsR.jpg","View Specifications","https://secondlifestorage.com/index.php?threads/celldata.1699/","Brand:

Sony

Model:

US18650NC1

Capacity:

2750mAh Rated

Voltage:

3.60V Nominal

Charging:

4.20V Maximum
1925mA Standard
--- mA Maximum

Discharging:

2.50V Cutoff
2750mA Standard
--- mA Maximum

Description:

Green Cell Wrapper
Black Insulator Ring
18650 Form Factor"
"1776675346-28","https://secondlifestorage.com/index.php?pages/cell-database/","Sony","US18650GS","18650","Green","Black","","View Specifications","https://secondlifestorage.com/custom/cell_images/ksgg3ee.jpg","View Specifications","https://secondlifestorage.com/index.php?threads/celldata.1690/","Brand:

Sony

Model:

US18650GS

Capacity:

--- mAh Rated

Voltage:

--- V Nominal

Charging:

--- V Maximum
--- mA Standard
--- mA Maximum

Discharging:

--- V Cutoff
--- mA Standard
--- mA Maximum

Description:

Green Cell Wrapper
Black Insulator Ring
18650 Form Factor"
"1776675349-29","https://secondlifestorage.com/index.php?pages/cell-database/","Sony","US18650GR (G8)","18650","Green","Black","","View Specifications","https://secondlifestorage.com/custom/cell_images/us18650grg8.jpg","View Specifications","https://secondlifestorage.com/index.php?threads/celldata.2321/","Brand:

Sony

Model:

US18650GR (G8)

Capacity:

2600mAh Rated

Voltage:

3.70V Nominal

Charging:

4.20V Maximum
1000mA Standard
--- mA Maximum

Discharging:

2.75V Cutoff
520mA Standard
--- mA Maximum

Description:

Green Cell Wrapper
Black Insulator Ring
18650 Form Factor"
"1776675351-30","https://secondlifestorage.com/index.php?pages/cell-database/","Sony","US18650GR (G7)","18650","Green","Black","","View Specifications","https://secondlifestorage.com/custom/cell_images/us18650grg7.jpg","View Specifications","https://secondlifestorage.com/index.php?threads/celldata.2320/","Brand:

Sony

Model:

US18650GR (G7)

Capacity:

2400mAh Rated

Voltage:

3.70V Nominal

Charging:

4.20V Maximum
1000mA Standard
--- mA Maximum

Discharging:

3.00V Cutoff
480mA Standard
--- mA Maximum

Description:

Green Cell Wrapper
Black Insulator Ring
18650 Form Factor"
"1776675354-31","https://secondlifestorage.com/index.php?pages/cell-database/","Sony","US18650GR (G6)","18650","Green","Black","","View Specifications","https://secondlifestorage.com/custom/cell_images/us18650grg6.jpg","View Specifications","https://secondlifestorage.com/index.php?threads/celldata.1875/","Brand:

Sony

Model:

US18650GR (G6)

Capacity:

2100mAh Rated

Voltage:

3.70V Nominal

Charging:

4.20V Maximum
1000mA Standard
--- mA Maximum

Discharging:

3.00V Cutoff
420mA Standard
--- mA Maximum

Description:

Green Cell Wrapper
Black Insulator Ring
18650 Form Factor"
"1776675356-32","https://secondlifestorage.com/index.php?pages/cell-database/","Sony","US18650GR (G5)","18650","Green","Black","","View Specifications","https://secondlifestorage.com/custom/cell_images/us18650grg51.jpg","View Specifications","https://secondlifestorage.com/index.php?threads/celldata.2336/","Brand:

Sony

Model:

US18650GR (G5)

Capacity:

2200mAh Rated

Voltage:

3.70V Nominal

Charging:

4.20V Maximum
1300mA Standard
--- mA Maximum

Discharging:

2.75V Cutoff
440mA Standard
--- mA Maximum

Description:

Green Cell Wrapper
Black Insulator Ring
18650 Form Factor"
"1776675359-33","https://secondlifestorage.com/index.php?pages/cell-database/","Sony","US18650GR (G4)","18650","Green","Black","","View Specifications","https://secondlifestorage.com/custom/cell_images/us18650grg41.jpg","View Specifications","https://secondlifestorage.com/index.php?threads/celldata.2337/","Brand:

Sony

Model:

US18650GR (G4)

Capacity:

2000mAh Rated

Voltage:

3.70V Nominal

Charging:

4.20V Maximum
--- mA Standard
--- mA Maximum

Discharging:

--- V Cutoff
--- mA Standard
--- mA Maximum

Description:

Green Cell Wrapper
Black Insulator Ring
18650 Form Factor"
"1776675361-34","https://secondlifestorage.com/index.php?pages/cell-database/","Sony","US18650GR (G3)","18650","Green","Black","","View Specifications","https://secondlifestorage.com/custom/cell_images/us18650grg31.jpg","View Specifications","https://secondlifestorage.com/index.php?threads/celldata.2338/","Brand:

Sony

Model:

US18650GR (G3)

Capacity:

1800mAh Rated

Voltage:

3.70V Nominal

Charging:

4.20V Maximum
--- mA Standard
--- mA Maximum

Discharging:

--- V Cutoff
--- mA Standard
--- mA Maximum

Description:

Green Cell Wrapper
Black Insulator Ring
18650 Form Factor"
"1776675364-35","https://secondlifestorage.com/index.php?pages/cell-database/","Sony","US18650GR (G2)","18650","Green","Black","","View Specifications","https://secondlifestorage.com/custom/cell_images/jtc1eIc.jpg","View Specifications","https://secondlifestorage.com/index.php?threads/celldata.1688/","Brand:

Sony

Model:

US18650GR (G2)

Capacity:

1600mAh Rated

Voltage:

3.70V Nominal

Charging:

4.20V Maximum
--- mA Standard
--- mA Maximum

Discharging:

--- V Cutoff
--- mA Standard
--- mA Maximum

Description:

Green Cell Wrapper
Black Insulator Ring
18650 Form Factor"
"1776675366-36","https://secondlifestorage.com/index.php?pages/cell-database/","Sony","US18650FT","18650","Green","Black","","View Specifications","https://secondlifestorage.com/custom/cell_images/sonyus18650ft.jpg","View Specifications","https://secondlifestorage.com/index.php?threads/celldata.4718/","Brand:

Sony

Model:

US18650FT

Capacity:

1100mAh Rated

Voltage:

3.20V Nominal

Charging:

3.60V Maximum
1050mA Standard
--- mA Maximum

Discharging:

2.00V Cutoff
220mA Standard
10000mA Maximum

Description:

Green Cell Wrapper
Black Insulator Ring
18650 Form Factor"
"1776675369-37","https://secondlifestorage.com/index.php?pages/cell-database/","Sony","US18650E","18650","White","Black","","View Specifications","https://secondlifestorage.com/custom/cell_images/padeIsW.jpg","View Specifications","https://secondlifestorage.com/index.php?threads/celldata.1700/","Brand:

Sony

Model:

US18650E

Capacity:

--- mAh Rated

Voltage:

--- V Nominal

Charging:

--- V Maximum
--- mA Standard
--- mA Maximum

Discharging:

--- V Cutoff
--- mA Standard
--- mA Maximum

Description:

White Cell Wrapper
Black Insulator Ring
18650 Form Factor"
"1776675371-38","https://secondlifestorage.com/index.php?pages/cell-database/","Sony","US17670GR (G2)","17670","Green","Black","","View Specifications","https://secondlifestorage.com/custom/cell_images/us17670grg2.jpg","View Specifications","https://secondlifestorage.com/index.php?threads/celldata.6525/","Brand:

Sony

Model:

US17670GR (G2)

Capacity:

--- mAh Rated

Voltage:

3.60V Nominal

Charging:

--- V Maximum
--- mA Standard
--- mA Maximum

Discharging:

--- V Cutoff
--- mA Standard
--- mA Maximum

Description:

Green Cell Wrapper
Black Insulator Ring
17670 Form Factor



Brand:

Sony

Model:

US17670GR (G2)

Capacity:

--- mAh Rated

Voltage:

3.60V Nominal

Charging:

--- V Maximum
--- mA Standard
--- mA Maximum

Discharging:

--- V Cutoff
--- mA Standard
--- mA Maximum

Description:

Green Cell Wrapper
Black Insulator Ring
17670 Form Factor"
"1776675374-39","https://secondlifestorage.com/index.php?pages/cell-database/","Sony","US17670","18650","Blue (Dark)","Tan","","View Specifications","https://secondlifestorage.com/custom/cell_images/sonyus17670.jpg","View Specifications","https://secondlifestorage.com/index.php?threads/celldata.2104/","Brand:

Sony

Model:

US17670

Capacity:

--- mAh Rated

Voltage:

--- V Nominal

Charging:

--- V Maximum
--- mA Standard
--- mA Maximum

Discharging:

--- V Cutoff
--- mA Standard
--- mA Maximum

Description:

Blue (Dark) Cell Wrapper
Tan Insulator Ring
18650 Form Factor"
"1776675376-40","https://secondlifestorage.com/index.php?pages/cell-database/","Sony","SF US18650V","18650","Green","Black","","View Specifications","https://secondlifestorage.com/custom/cell_images/sfus18650v.jpg","View Specifications","https://secondlifestorage.com/index.php?threads/celldata.4719/","Brand:

Sony

Model:

SF US18650V

Capacity:

--- mAh Rated

Voltage:

--- V Nominal

Charging:

--- V Maximum
--- mA Standard
--- mA Maximum

Discharging:

--- V Cutoff
--- mA Standard
--- mA Maximum

Description:

Green Cell Wrapper
Black Insulator Ring
18650 Form Factor"
"1776675379-41","https://secondlifestorage.com/index.php?pages/cell-database/","Sony","<delete>","18650","Green","Black","","View Specifications","https://secondlifestorage.com/custom/cell_images/7DlNxWD.jpg","View Specifications","https://secondlifestorage.com/index.php?threads/celldata.1689/","Brand:

Sony

Model:

<delete>

Capacity:

--- mAh Rated

Voltage:

--- V Nominal

Charging:

--- V Maximum
--- mA Standard
--- mA Maximum

Discharging:

--- V Cutoff
--- mA Standard
--- mA Maximum

Description:

Green Cell Wrapper
Black Insulator Ring
18650 Form Factor"
"1776675381-42","https://secondlifestorage.com/index.php?pages/cell-database/","SINC","ISR18650-2600MAH","18650","Pink","Grey (Light)","","View Specifications","https://secondlifestorage.com/custom/cell_images/sincicr186502600.jpg","View Specifications","https://secondlifestorage.com/index.php?threads/celldata.5244/","Brand:

SINC

Model:

ISR18650-2600MAH

Capacity:

2600mAh Rated

Voltage:

--- V Nominal

Charging:

--- V Maximum
--- mA Standard
--- mA Maximum

Discharging:

--- V Cutoff
--- mA Standard
--- mA Maximum

Description:

Pink Cell Wrapper
Grey (Light) Insulator Ring
18650 Form Factor"
"1776675383-43","https://secondlifestorage.com/index.php?pages/cell-database/","Sinc","CRN18650-2200MAH","18650","Green","","","View Specifications","https://secondlifestorage.com/custom/cell_images/crn18650-2200mah.jpg","View Specifications","https://secondlifestorage.com/index.php?threads/celldata.4828/","Brand:

Sinc

Model:

CRN18650-2200MAH

Capacity:

2200mAh Rated

Voltage:

--- V Nominal

Charging:

--- V Maximum
--- mA Standard
--- mA Maximum

Discharging:

--- V Cutoff
--- mA Standard
--- mA Maximum

Description:

Green Cell Wrapper
---  Insulator Ring
18650 Form Factor"
"1776675386-44","https://secondlifestorage.com/index.php?pages/cell-database/","Sanyo","UR18650ZY","18650","Red","Purple (Light)","","View Specifications","https://secondlifestorage.com/custom/cell_images/q4dxZRO.jpg","View Specifications","https://secondlifestorage.com/index.php?threads/celldata.1717/","Brand:

Sanyo

Model:

UR18650ZY

Capacity:

2450mAh Rated

Voltage:

3.70V Nominal

Charging:

4.20V Maximum
1750mA Standard
--- mA Maximum

Discharging:

2.75V Cutoff
490mA Standard
2450mA Maximum

Description:

Red Cell Wrapper
Purple (Light) Insulator Ring
18650 Form Factor"
"1776675388-45","https://secondlifestorage.com/index.php?pages/cell-database/","Sanyo","UR18650ZTA","18650","Purple","Yellow","","View Specifications","https://secondlifestorage.com/custom/cell_images/ur18650zta1.jpg","View Specifications","https://secondlifestorage.com/index.php?threads/celldata.3266/","Brand:

Sanyo

Model:

UR18650ZTA

Capacity:

2900mAh Rated

Voltage:

3.70V Nominal

Charging:

4.35V Maximum
1450mA Standard
--- mA Maximum

Discharging:

3.00V Cutoff
580mA Standard
5800mA Maximum

Description:

Purple Cell Wrapper
Yellow Insulator Ring
18650 Form Factor"
"1776675391-46","https://secondlifestorage.com/index.php?pages/cell-database/","Sanyo","UR18650ZT
R1122","18650","Orange","Purple","R1122","View Specifications","https://secondlifestorage.com/custom/cell_images/5DdSDfc.jpg","View Specifications","https://secondlifestorage.com/index.php?threads/celldata.1716/","Brand:

Sanyo

Model:

UR18650ZT (R1122)

Capacity:

2650mAh Rated

Voltage:

3.70V Nominal

Charging:

4.30V Maximum
1890mA Standard
--- mA Maximum

Discharging:

3.00V Cutoff
530mA Standard
5300mA Maximum

Description:

Orange Cell Wrapper
Purple Insulator Ring
18650 Form Factor"
"1776675393-47","https://secondlifestorage.com/index.php?pages/cell-database/","Sanyo","UR18650Y","18650","Red","Green (Light)","","View Specifications","https://secondlifestorage.com/custom/cell_images/n1RUyck.jpg","View Specifications","https://secondlifestorage.com/index.php?threads/celldata.1710/","Brand:

Sanyo

Model:

UR18650Y

Capacity:

2000mAh Rated

Voltage:

3.70V Nominal

Charging:

4.20V Maximum
1330mA Standard
--- mA Maximum

Discharging:

2.50V Cutoff
--- mA Standard
--- mA Maximum

Description:

Red Cell Wrapper
Green (Light) Insulator Ring
18650 Form Factor



Brand:

Sanyo

Model:

UR18650Y

Capacity:

2000mAh Rated

Voltage:

3.70V Nominal

Charging:

4.20V Maximum
1330mA Standard
--- mA Maximum

Discharging:

2.50V Cutoff
--- mA Standard
--- mA Maximum

Description:

Red Cell Wrapper
Green (Light) Insulator Ring
18650 Form Factor



Brand:

Sanyo

Model:

UR18650Y

Capacity:

2000mAh Rated

Voltage:

3.70V Nominal

Charging:

4.20V Maximum
1330mA Standard
--- mA Maximum

Discharging:

2.50V Cutoff
--- mA Standard
--- mA Maximum

Description:

Red Cell Wrapper
Green (Light) Insulator Ring
18650 Form Factor"
"1776675396-48","https://secondlifestorage.com/index.php?pages/cell-database/","Sanyo","UR18650WX","18650","Red","Blue (Cyan)","","View Specifications","https://secondlifestorage.com/custom/cell_images/F5gN8AV.jpg","View Specifications","https://secondlifestorage.com/index.php?threads/celldata.1708/","Brand:

Sanyo

Model:

UR18650WX

Capacity:

1500mAh Rated

Voltage:

3.70V Nominal

Charging:

4.20V Maximum
1050mA Standard
--- mA Maximum

Discharging:

2.75V Cutoff
300mA Standard
10000mA Maximum

Description:

Red Cell Wrapper
Blue (Cyan) Insulator Ring
18650 Form Factor"
